Caecus SKU,Linnworks SKU,Item Title,Caecus Barcode,Barcode,Parcel Length,Parcel Width ,Parcel Depth,Parcel Weight(kg),Postage Service,Postage Cost,CBM Per Outer,UK Supplier Cost Price,China Cost Price $,China Cost Price inclusive Duty and carriage £,cost x 4,Ebay BO Retail Price,Ebay BMS Retail Price,Amazon BO Retail Price,Retail Price with carriage at £4.95,Amazon FBA,Amazon B2B,Nett price,Tax,Fees 30%,Shipping 20%,Total Cost,% Profit, Profit,Wayfair Retail Price,EBAY Price Updated,Price Adjustment,EBAY Price Updated,Price Adjustment,Amazon Price Updated,Price Adjustment,Promotion Cost,Parent Image 1,Parent Image 2,Parent Image 3,Other Image,Other Image,Other Image,Other Image,Other Image,Swatch image,Item Features 1,Item Features 2,Item Features 3,Item Features 4,Item Features 5,Item Features 6,Finer Details 1,Finer Details 2,Finer Details 3,Finer Details 4,Finer Details 5,Finer Details 6,Full Description,Ebay BO Title,Ebay BMS Title,Amazon BO Title
026-001,BOAU060,Blackout Roller Blind Aubergine 60cm,5059032276858,5059032120847,73,5.3,5,0.71,DX Secure,5.35,0.022,4.90,3.66 ,3.22,4.027759615,16.99,16.99,16.99,15.99,20.99,15.99,14.16,2.83,5.10,3.40,11.72,17.24%,2.44,5.16,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Aubergine-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 210cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-002,BOAU090,Blackout Roller Blind Aubergine 90cm,5059032276865,5059032120854,103,5.3,5,0.97,DX Secure,5.35,0.031,7.02,5.17 ,4.55,5.689485577,23.99,23.99,23.99,21.99,27.99,21.99,19.99,4.00,7.20,4.80,16.55,17.23%,3.45,7.28,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Aubergine-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-003,BOAU120,Blackout Roller Blind Aubergine 120cm,5059032276872,5059032120861,133,5.3,5,1.25,DX Secure,5.35,0.039,8.97,6.58 ,5.79,7.241163462,30.99,30.99,30.99,27.99,34.99,27.99,25.83,5.17,9.30,6.20,21.29,17.57%,4.54,9.27,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Aubergine-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-004,BOAU150,Blackout Roller Blind Aubergine 150cm,5059032276889,5059032120878,163,5.3,5,1.54,DX Secure,5.35,0.048,11.22,8.07 ,7.10,8.880879808,37.99,37.99,37.99,33.99,41.99,34.99,31.66,6.33,11.40,7.60,26.10,17.56%,5.56,11.37,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Aubergine-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-005,BOAU180,Blackout Roller Blind Aubergine 180cm,5059032276896,5059032120885,193,5.3,5,1.95,DX Secure,5.35,0.057,12.99,9.56 ,8.42,10.52059615,42.99,42.99,42.99,37.99,49.99,42.99,35.83,7.17,12.90,8.60,29.91,16.51%,5.91,13.47,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Aubergine-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-006,BOAU210,Blackout Roller Blind Aubergine 210cm,5059032276902,5059032120892,223,5.3,5,2.4,DX Freight,11.01,0.034,15.16,11.17 ,9.83,12.29237019,47.99,47.99,47.99,41.99,59.99,51.99,39.99,8.00,14.40,9.60,33.83,15.41%,6.16,15.73,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Aubergine-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-007,BOAU240,Blackout Roller Blind Aubergine 240cm,5059032276919,5059032120908,253,5.3,5,2.7,DX Freight,11.01,0.039,17.33,12.57 ,11.07,13.83304327,53.99,53.99,54.99,47.99,69.99,61.99,45.83,9.17,16.50,11.00,38.56,15.85%,7.26,17.71,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Aubergine-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-008,BOBL060,Blackout Roller Blind Black 60cm,5059032276926,5059032120915,73,5.3,5,0.71,DX Secure,5.35,0.022,,3.66 ,3.22,12.88883077,16.99,16.99,16.99,15.99,20.99,15.99,14.16,2.83,5.10,3.40,11.72,17.24%,2.44,5.16,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Black-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-009,BOBL090,Blackout Roller Blind Black 90cm,5059032276933,5059032120922,103,5.3,5,0.97,DX Secure,5.35,0.031,,5.17 ,4.55,18.20635385,23.99,23.99,23.99,21.99,27.99,21.99,19.99,4.00,7.20,4.80,16.55,17.23%,3.45,7.28,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Black-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
026-010,BOBL120,Blackout Roller Blind Black 120cm,5059032276940,5059032120939,133,5.3,5,1.25,DX Secure,5.35,0.039,,6.58 ,5.79,23.17172308,30.99,30.99,30.99,27.99,34.99,27.99,25.83,5.17,9.30,6.20,21.29,17.57%,4.54,9.27,Prices checked and corrected 07/24,,,,,,,https://blindsoutlet.co.uk/wp-content/uploads/2025/05/Black-Blackout-scaled.png,,,,,,,,,"Polyester fabric with a 3-pass, colour matched, blackout lining, providing 100% sunlight blocking and thermal properites",Securely fitted to a 25mm strong inner roller tube to provide easy rolling of the fabric. Maximum fabric drop 160cm.  The blind can be easily trimmed with a sharp pair of scissors and a hack saw,Please note: the sizes stated are including our fittings. The size of the actual roller fabric width is approx. 4cm (1 & 1/2 inch) narrower.,Easily fit within minutes and easy to follow instructions along with easy to use pull operation for opening and closing the blind,"Complete with all the fittings, brackets, mounts, and controls. All you need to do is supply a drill",Includes a child safety device that help keep your children safe. Our simple device tensions the pull cord to the wall to keep your children safe,"Metal fitting brackets with plastic covers. Two way fitting so you can have top or face fix, simply choose the appropriate hole in the bracket. Sidewinder operation with child safe tension cord to be fitted at least 1metre off the ground",Metal roller tube with fabric attached by slotting into the indent. Due to tube indent this may not be suitable for use with other fittings. Please use the fittings supplied,Blind width includes fittings so the fabric will be approx 4cm narrower. If you want complete darkness in your room we suggest fittings outside the recess and measuring at least 15cm wider than your window recess. ,You need at least 10cm depth to fit this blind. Please take care when measuring that protruding handles and dado rails will not interfere with the fabric. You can have the fabric rolled over the tube instead of behind to avoid handles.,"Fabric backing is made with a different material composite than the front, so will vary slightly in shade. The fabric has thermal qualities due to it's nature.",Always leave at least one turn on the roller tube to avoid excess strain on the fabric.,"With fabric offering total blocking of sunlight and complete privacy, our stylish, modern, blackout roller blinds allow you to easily achieve this by simply installing them infront of your window. Our lovely polyester fabric allows for a maximum drop of 160cm and is easy to care for whilst adding a warm cosy feel to your room, our 3-pass blackout lining will completely stop all sunlight entering the room whilst also providing thermal properties. These are easy-fit and can be installed within minutes as they come supplied with everything you need. Easily wiped clean with a damp cloth.",,,
